Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
java,cesiumlanguagewritertests,TestGregorianDate,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
java,cesiumlanguagewritertests,TestGregorianDateFormatting,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 78 public methods
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: TestLabelCesiumWriter; TestStripeMaterialCesiumWriter; TestPolylineArrowMaterialCesiumWriter; TestConicSensorCesiumWriter; TestStringCesiumWriter; TestSolidColorMaterialCesiumWriter; TestRectangleCesiumWriter; TestShapeCesiumWriter; TestBooleanCesiumWriter; TestModelCesiumWriter; TestPolygonCesiumWriter; TestCesiumInterpolatablePropertyWriter; TestRectangularSensorCesiumWriter; TestArticulationsCesiumWriter; TestBillboardCesiumWriter; TestCustomPatternSensorCesiumWriter; TestCustomPropertiesCesiumWriter; TestLabelStyleCesiumWriter; TestPolylineDashMaterialCesiumWriter; TestPolylineVolumeCesiumWriter; TestTilesetCesiumWriter; TestCheckerboardMaterialCesiumWriter; TestPolylineGlowMaterialCesiumWriter; TestNodeTransformationsCesiumWriter; TestDoubleCesiumWriter; TestPolylineOutlineMaterialCesiumWriter; TestVerticalOriginCesiumWriter; TestHorizontalOriginCesiumWriter; TestGridMaterialCesiumWriter
java,cesiumlanguagewritertests,TestUnitQuaternion,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
java,cesiumlanguagewritertests,TestCesiumFormattingHelper,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods
java,cesiumlanguagewritertests,TestGregorianDateParsing,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
java,cesiumlanguagewritertests,TestCartesian,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
java,cesiumlanguagewritertests,TestGenerateValidationDocument,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 89 methods
java,cesiumlanguagewritertests,TestMatrix3By3,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
java,cesiumlanguagewritertests,TestUnitCartesian,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
java,cesiumlanguagewritertests,TestJulianDate,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
java,cesiumlanguagewritertests.data,EmbeddedData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,TestContext.TestAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; fullName; testClass
java,agi.foundation.compatibility,TestContext.TestAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,AssertHelper,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
java,agi.foundation.compatibility,AssertHelper.ExactClassMatcher,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: expectedClass
java,agi.foundation.compatibility,AssertHelper.ExactClassMatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,MessageMatch,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
java,agi.foundation.compatibility,MessageMatch,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,RuntimeNoSuchMethodException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,RuntimeNoSuchMethodException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WrappedRuntimeException
java,agi.foundation.compatibility,Assembly.LocationInformation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: fileName
java,agi.foundation.compatibility,Assembly.LocationInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,Assembly.StackTraceLocationInformation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: assemblyClassName; throwable; assemblyMethodName; stackTraceOffset
java,agi.foundation.compatibility,Assembly.StackTraceLocationInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,Assembly.ClassLocationInformation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: c
java,agi.foundation.compatibility,Assembly.ClassLocationInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,CultureInfoHelper,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: StringHelper; CultureInfoHelper
java,agi.foundation.compatibility,NotFiniteNumberException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,FtpWebRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,LinkedList,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LinkedListNode; LinkedList
java,agi.foundation.compatibility,LinkedList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
java,agi.foundation.compatibility,LinkedList.Enumerator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: list; current; index; __state
java,agi.foundation.compatibility,LinkedList.Enumerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,RuntimeInterruptedException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,RuntimeInterruptedException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WrappedRuntimeException
java,agi.foundation.compatibility,DateTimeFormatInfo,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
java,agi.foundation.compatibility,DateTimeFormatInfo.DateFormats,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,agi.foundation.compatibility,DateTimeFormatInfo.DateFormatsForLocale,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
