Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,cesiumlanguagewritertests,TestGregorianDate,canConstructGregorianDate,16,1,0,34,1,,
java,cesiumlanguagewritertests,TestGregorianDate,cannotConstructWithInvalidTime,11,1,0,52,1,,
java,cesiumlanguagewritertests,TestGregorianDate,invoke,3,1,0,55,0,,
java,cesiumlanguagewritertests,TestGregorianDate,cannotConstructWithInvalidDate,11,1,0,62,1,,
java,cesiumlanguagewritertests,TestGregorianDate,invoke,3,1,0,65,0,,
java,cesiumlanguagewritertests,TestGregorianDate,isValidValidatesProperly,30,1,0,72,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testEquality,22,1,0,104,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testEqualityInTimePortion,28,1,0,128,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testEqualityWithFractionalSeconds,8,1,0,158,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testComparisons,19,1,0,168,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testComparisonsOfTimePortion,17,1,0,189,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testGetHashCode,9,1,0,208,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testToStringFormatProvider,9,1,0,219,1,,
java,cesiumlanguagewritertests,TestGregorianDate,canConstructFromJulianDate,26,1,0,230,1,,
java,cesiumlanguagewritertests,TestGregorianDate,canConvertToJulianDate,20,1,0,258,1,,
java,cesiumlanguagewritertests,TestGregorianDate,canConstructFromDateTime,5,1,0,280,1,,
java,cesiumlanguagewritertests,TestGregorianDate,localDateTimesAreConvertedToUTC,6,1,0,287,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testMinValue,3,1,0,295,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testMaxValue,3,1,0,300,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testJulianSecondsOfDay,5,1,0,305,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testYearDayConstructor,18,1,0,312,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testDayOfYear,14,1,0,336,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testSixtySecondsAreValidIfTheInstantRepresentsALeapSecond,4,1,0,352,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testSixtySecondsAreNotValidIfTheInstantDoesNotRepresentALeapSecond,4,1,0,358,1,,
java,cesiumlanguagewritertests,TestGregorianDate,canConstructGregorianDateRepresentingLeapSecond,4,1,0,366,1,,
java,cesiumlanguagewritertests,TestGregorianDate,cannotConstructGregorianDateRepresentingInvalidLeapSecond,11,1,0,372,1,,
java,cesiumlanguagewritertests,TestGregorianDate,invoke,3,1,0,375,0,,
java,cesiumlanguagewritertests,TestGregorianDate,testGregorianDateNow,6,1,0,382,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testConversionToJulianDate,8,1,0,393,1,,
java,cesiumlanguagewritertests,TestGregorianDate,canConvertGregorianDateRepresentingLeapSecondToJulianDate,9,1,0,403,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testNonStandardTimeStandard,11,1,0,414,1,,
java,cesiumlanguagewritertests,TestGregorianDate,testRoundTripDefaultConstructed,5,1,0,427,1,,
java,cesiumlanguagewritertests,TestGregorianDate,roundSecondsRoundsFractionalSeconds,11,1,0,434,1,,
java,cesiumlanguagewritertests,TestGregorianDate,roundSecondsRollsOver,12,1,0,447,1,,
java,cesiumlanguagewritertests,TestGregorianDate,roundSecondsAllows61SecondsDuringLeapSecond,6,1,0,461,1,,
java,cesiumlanguagewritertests,TestGregorianDate,roundSecondsDoesNotAllow61SecondsDuringLeapSecondIfTimeStandardIsNotUtc,4,1,0,469,1,,
java,cesiumlanguagewritertests,TestGregorianDate,maxValueRoundTripsThroughJulianDate,7,1,0,475,1,,
java,cesiumlanguagewritertests,TestGregorianDate,getRule$testContext,3,1,0,487,0,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testShowProperty,15,1,0,30,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testTextProperty,15,1,0,47,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testTextPropertyInterval,52,1,0,64,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testShowBackgroundProperty,15,1,0,118,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testBackgroundColorProperty,15,1,0,135,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testBackgroundPaddingProperty,15,1,0,152,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testTranslucencyByDistanceProperty,15,1,0,169,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,testTranslucencyByDistancePropertySamples,22,1,0,186,1,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,createPropertyWriter,3,1,1,210,0,,
java,cesiumlanguagewritertests,TestLabelCesiumWriter,getRule$testContext,3,1,0,218,0,,
java,cesiumlanguagewritertests,TestStripeMaterialCesiumWriter,testWriteStripeMaterial,34,1,0,26,1,,
java,cesiumlanguagewritertests,TestStripeMaterialCesiumWriter,createPropertyWriter,3,1,1,62,0,,
java,cesiumlanguagewritertests,TestStripeMaterialCesiumWriter,getRule$testContext,3,1,0,70,0,,
java,cesiumlanguagewritertests,TestPolylineArrowMaterialCesiumWriter,testWritePolylineArrowMaterial,22,1,0,26,1,,
java,cesiumlanguagewritertests,TestPolylineArrowMaterialCesiumWriter,createPropertyWriter,3,1,1,50,0,,
java,cesiumlanguagewritertests,TestPolylineArrowMaterialCesiumWriter,getRule$testContext,3,1,0,58,0,,
java,cesiumlanguagewritertests,TestConicSensorCesiumWriter,testBasicProperties,30,1,0,26,1,,
java,cesiumlanguagewritertests,TestConicSensorCesiumWriter,testIntersectionProperties,27,1,0,58,1,,
java,cesiumlanguagewritertests,TestConicSensorCesiumWriter,testShowThroughEllipsoid,15,1,0,87,1,,
java,cesiumlanguagewritertests,TestConicSensorCesiumWriter,createPropertyWriter,3,1,1,104,0,,
java,cesiumlanguagewritertests,TestConicSensorCesiumWriter,getRule$testContext,3,1,0,112,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,setUp,3,1,0,38,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats,5,1,1,43,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase1,3,1,0,51,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase2,3,1,0,56,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase3,3,1,0,61,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase4,3,1,0,66,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase5,3,1,0,71,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase6,3,1,0,76,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase7,3,1,0,81,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase8,3,1,0,86,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase9,3,1,0,91,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase10,3,1,0,96,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase11,3,1,0,101,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase12,3,1,0,106,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase13,3,1,0,111,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase14,3,1,0,116,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase15,3,1,0,121,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase16,3,1,0,126,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringStandardFormats$TestCase17,3,1,0,131,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testToStringCustomFormats,51,1,0,136,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toStringThrowsOnInvalidFormatSpecifier,11,1,0,193,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,invoke,3,1,0,196,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,cantFormatMoreThan15FractionalSeconds,11,1,0,203,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,invoke,3,1,0,206,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,formatSpecifierCantEndWithAPercent,11,1,0,213,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,invoke,3,1,0,216,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,formatSpecifierCantEndWithABackslash,11,1,0,223,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,invoke,3,1,0,226,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,formatSpecifierCantHaveADoublePercent,11,1,0,233,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,invoke,3,1,0,236,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,testFormattingLeapSecond,4,1,0,243,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings,6,1,7,249,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase1,3,1,0,256,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase2,3,1,0,261,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase3,3,1,0,266,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase4,3,1,0,271,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase5,3,1,0,276,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase6,3,1,0,281,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase7,3,1,0,286,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase8,3,1,0,291,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601ExtendedStringProducesCorrectStrings$TestCase9,3,1,0,296,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings,6,1,7,301,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase1,3,1,0,308,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase2,3,1,0,313,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase3,3,1,0,318,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase4,3,1,0,323,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase5,3,1,0,328,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase6,3,1,0,333,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase7,3,1,0,338,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase8,3,1,0,343,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601BasicStringProducesCorrectStrings$TestCase9,3,1,0,348,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings,5,1,7,353,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase1,3,1,0,359,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase2,3,1,0,364,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase3,3,1,0,369,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase4,3,1,0,374,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase5,3,1,0,379,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase6,3,1,0,384,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase7,3,1,0,389,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase8,3,1,0,394,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601CompactStringProducesCorrectStrings$TestCase9,3,1,0,399,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601Validation,19,2,1,404,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601Validation$TestCase1,5,2,0,426,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,getToIso8601ValidationValues,13,1,0,433,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,secondsAreCorrectlyFormattedToDifferentNumbersOfDigits,6,1,0,447,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toStringTruncatesSeconds,4,1,0,455,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,wholeNumberSecondsIsFormattedCorrectly,8,1,0,461,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds,5,1,7,471,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase1,3,1,0,477,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase2,3,1,0,482,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase3,3,1,0,487,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase4,3,1,0,492,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase5,3,1,0,497,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase6,3,1,0,502,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,toIso8601StringWithFractionalSeconds$TestCase7,3,1,0,507,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,fractionalSecondsCloseToZeroAreFormattedCorrectly,4,1,0,512,1,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,getRule$testContext,3,1,0,522,0,,
java,cesiumlanguagewritertests,TestGregorianDateFormatting,getRule$expectedException,3,1,0,532,0,,
java,cesiumlanguagewritertests,TestStringCesiumWriter,stringCanBeWrittenAsSimpleString,14,1,0,25,1,,
java,cesiumlanguagewritertests,TestStringCesiumWriter,stringCanBeWrittenInsideInterval,18,1,0,41,1,,
java,cesiumlanguagewritertests,TestStringCesiumWriter,testDeletePropertyWithStartAndStop,23,1,0,61,1,,
java,cesiumlanguagewritertests,TestStringCesiumWriter,testDeletePropertyWithNoInterval,19,1,0,86,1,,
java,cesiumlanguagewritertests,TestStringCesiumWriter,createPropertyWriter,3,1,1,107,0,,
java,cesiumlanguagewritertests,TestStringCesiumWriter,getRule$testContext,3,1,0,115,0,,
java,cesiumlanguagewritertests,TestSolidColorMaterialCesiumWriter,testWriteSolidColorMaterial,22,1,0,26,1,,
java,cesiumlanguagewritertests,TestSolidColorMaterialCesiumWriter,createPropertyWriter,3,1,1,50,0,,
java,cesiumlanguagewritertests,TestSolidColorMaterialCesiumWriter,getRule$testContext,3,1,0,58,0,,
java,cesiumlanguagewritertests,TestRectangleCesiumWriter,testHeightReferenceProperties,18,1,0,25,1,,
java,cesiumlanguagewritertests,TestRectangleCesiumWriter,createPropertyWriter,3,1,1,45,0,,
java,cesiumlanguagewritertests,TestRectangleCesiumWriter,getRule$testContext,3,1,0,53,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,getStringWriter,3,1,0,38,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,setStringWriter,3,1,1,42,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,getOutputStream,3,1,0,46,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,setOutputStream,3,1,1,50,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,getWriter,3,1,0,54,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,setWriter,3,1,1,58,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,getPacket,3,1,0,62,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,setPacket,3,1,1,66,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,testCesiumPropertyWriterSetUp,6,1,0,70,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,createPropertyWriter,0,1,1,78,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,createExpectedJson,5,1,2,81,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,createExpectedJson,9,2,1,91,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,formatValue,102,15,1,105,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,assertExpectedJson,4,1,2,210,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,assertExpectedJson,4,1,1,216,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,writesPropertyNameOnOpenAndNothingOnClose,7,1,0,222,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,singleIntervalWritesOpenObjectLiteral,7,1,0,231,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,multipleIntervalsWritesOpenArray,7,1,0,240,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,closingMultipleIntervalsWritesCloseArray,7,1,0,249,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,multipleIntervalsAllowsWritingMultipleIntervals,32,1,0,258,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,throwsWhenWritingToBeforeOpening,12,1,0,292,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,invoke,3,1,0,296,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,throwsWhenWritingToAfterClosed,14,1,0,303,1,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,invoke,3,1,0,309,0,,
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,getRule$testContext,3,1,0,323,0,,
