Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
java,cesiumlanguagewritertests,TestGregorianDate,canConstructGregorianDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
java,cesiumlanguagewritertests,TestGregorianDate,cannotConstructWithInvalidTime,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java,cesiumlanguagewritertests,TestGregorianDate,cannotConstructWithInvalidDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java,cesiumlanguagewritertests,TestGregorianDate,isValidValidatesProperly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28
java,cesiumlanguagewritertests,TestGregorianDate,testEquality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
java,cesiumlanguagewritertests,TestGregorianDate,testEqualityInTimePortion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 21
java,cesiumlanguagewritertests,TestGregorianDate,testEqualityWithFractionalSeconds,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java,cesiumlanguagewritertests,TestGregorianDate,testComparisons,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
java,cesiumlanguagewritertests,TestGregorianDate,testComparisonsOfTimePortion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
java,cesiumlanguagewritertests,TestGregorianDate,testGetHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java,cesiumlanguagewritertests,TestGregorianDate,testToStringFormatProvider,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java,cesiumlanguagewritertests,TestGregorianDate,canConstructFromJulianDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
java,cesiumlanguagewritertests,TestGregorianDate,canConvertToJulianDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
java,cesiumlanguagewritertests,TestGregorianDate,testYearDayConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
java,cesiumlanguagewritertests,TestGregorianDate,testDayOfYear,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
java,cesiumlanguagewritertests,TestGregorianDate,testSixtySecondsAreValidIfTheInstantRepresentsALeapSecond,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
