Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java,cesiumlanguagewritertests,TestLabelCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
java,cesiumlanguagewritertests,TestCesiumPropertyWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
java,cesiumlanguagewritertests,TestOrientationCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
java,cesiumlanguagewritertests,TestCesiumFormattingHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
java,cesiumlanguagewritertests,TestPolygonCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
java,cesiumlanguagewritertests,TestArticulationsCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
java,cesiumlanguagewritertests,TestBillboardCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
java,cesiumlanguagewritertests,TestCustomPropertiesCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
java,cesiumlanguagewritertests,TestPolylineVolumeCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
java,cesiumlanguagewritertests,TestNodeTransformationsCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
java,cesiumlanguagewritertests,TestPositionCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
java,agi.foundation.compatibility,TestContext.TestAdapter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java,agi.foundation.compatibility,ColorHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LIME
java,agi.foundation.compatibility,NumberStyles,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE; ALLOW_CURRENCY_SYMBOL; ALLOW_DECIMAL_POINT; ALLOW_EXPONENT; ALLOW_HEX_SPECIFIER; ALLOW_LEADING_SIGN; ALLOW_LEADING_WHITE; ALLOW_PARENTHESES; ALLOW_THOUSANDS; ALLOW_TRAILING_SIGN; ALLOW_TRAILING_WHITE; ANY; CURRENCY; FLOAT; HEX_NUMBER; INTEGER; NUMBER
java,agi.foundation.compatibility,StringHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: empty
java,agi.foundation.compatibility,StringSplitOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE; REMOVE_EMPTY_ENTRIES
java,cesiumlanguagewriter,ShapeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; DeletePropertyName
java,cesiumlanguagewriter,DirectionListCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SphericalPropertyName; UnitSphericalPropertyName; CartesianPropertyName; UnitCartesianPropertyName; DeletePropertyName
java,cesiumlanguagewriter,PacketCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IdPropertyName; DeletePropertyName; NamePropertyName; ParentPropertyName; DescriptionPropertyName; ClockPropertyName; VersionPropertyName; AvailabilityPropertyName; PropertiesPropertyName; PositionPropertyName; OrientationPropertyName; ViewFromPropertyName; BillboardPropertyName; BoxPropertyName; CorridorPropertyName; CylinderPropertyName; EllipsePropertyName; EllipsoidPropertyName; LabelPropertyName; ModelPropertyName; PathPropertyName; PointPropertyName; PolygonPropertyName; PolylinePropertyName; PolylineVolumePropertyName; RectanglePropertyName; TilesetPropertyName; WallPropertyName; ConicSensorPropertyName; CustomPatternSensorPropertyName; RectangularSensorPropertyName; FanPropertyName; VectorPropertyName
java,cesiumlanguagewriter,PacketCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 35
java,cesiumlanguagewriter,ScaleCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,BoundingRectangleCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BoundingRectanglePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,HorizontalOriginCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HorizontalOriginPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,Duration,Law of Demeter violation,The tool detected the smell in this method (equalsEpsilon) because the method voilates the law of Demeter. The long chain of method invocations is : cesiumlanguagewriter.Duration.getTotalSeconds; cesiumlanguagewriter.Duration.subtract
java,cesiumlanguagewriter,RectangleCoordinatesCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WsenPropertyName; WsenDegreesPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,EllipsoidRadiiCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,PositionListOfListsCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; CartographicRadiansPropertyName; CartographicDegreesPropertyName; ReferencesPropertyName; DeletePropertyName
java,cesiumlanguagewriter,GridMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorPropertyName; CellAlphaPropertyName; LineCountPropertyName; LineThicknessPropertyName; LineOffsetPropertyName
java,cesiumlanguagewriter,GridMaterialCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
java,cesiumlanguagewriter,PathCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; LeadTimePropertyName; TrailTimePropertyName; WidthPropertyName; ResolutionPropertyName; MaterialPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,StripeOrientationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: StripeOrientationPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,LabelCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; TextPropertyName; FontPropertyName; StylePropertyName; ScalePropertyName; ShowBackgroundPropertyName; BackgroundColorPropertyName; BackgroundPaddingPropertyName; PixelOffsetPropertyName; EyeOffsetPropertyName; HorizontalOriginPropertyName; VerticalOriginPropertyName; HeightReferencePropertyName; FillColorPropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; TranslucencyByDistancePropertyName; PixelOffsetScaleByDistancePropertyName; ScaleByDistancePropertyName; DistanceDisplayConditionPropertyName; DisableDepthTestDistancePropertyName
java,cesiumlanguagewriter,LabelCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
java,cesiumlanguagewriter,RotationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UnitQuaternionPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,CornerTypeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CornerTypePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,OrientationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UnitQuaternionPropertyName; ReferencePropertyName; VelocityReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,SensorVolumePortionToDisplayCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PortionToDisplayPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,WallCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PositionsPropertyName; MinimumHeightsPropertyName; MaximumHeightsPropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,WallCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
java,cesiumlanguagewriter,BoxDimensionsCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,FanCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; DirectionsPropertyName; RadiusPropertyName; PerDirectionRadiusPropertyName; MaterialPropertyName; FillPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; NumberOfRingsPropertyName
java,cesiumlanguagewriter,FanCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
java,cesiumlanguagewriter,StringCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: StringPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,VectorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; ColorPropertyName; DirectionPropertyName; LengthPropertyName; MinimumLengthInPixelsPropertyName
java,cesiumlanguagewriter,VectorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
java,cesiumlanguagewriter,RectangularSensorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; XHalfAnglePropertyName; YHalfAnglePropertyName; RadiusPropertyName; ShowIntersectionPropertyName; IntersectionColorPropertyName; IntersectionWidthPropertyName; ShowLateralSurfacesPropertyName; LateralSurfaceMaterialPropertyName; ShowEllipsoidSurfacesPropertyName; EllipsoidSurfaceMaterialPropertyName; ShowEllipsoidHorizonSurfacesPropertyName; EllipsoidHorizonSurfaceMaterialPropertyName; ShowDomeSurfacesPropertyName; DomeSurfaceMaterialPropertyName; PortionToDisplayPropertyName; EnvironmentConstraintPropertyName; ShowEnvironmentOcclusionPropertyName; EnvironmentOcclusionMaterialPropertyName; ShowEnvironmentIntersectionPropertyName; EnvironmentIntersectionColorPropertyName; EnvironmentIntersectionWidthPropertyName; ShowThroughEllipsoidPropertyName; ShowViewshedPropertyName; ViewshedVisibleColorPropertyName; ViewshedOccludedColorPropertyName; ViewshedResolutionPropertyName
java,cesiumlanguagewriter,RectangularSensorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
java,cesiumlanguagewriter,LineThicknessCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,IntegerCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NumberPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,LineOffsetCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,ImageMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ImagePropertyName; RepeatPropertyName; ColorPropertyName; TransparentPropertyName
java,cesiumlanguagewriter,ImageMaterialCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
